"","id","panelist","week","day","store id","brandbought","sumunits","sumvol","sumdollars","trips","brand","price","weekslast","brandlag","dis","feat","FMYSize","Income","NoIncome"
"1",1253,14101758,616,7,1422,2,1,18,48.16,1,1,0.21,NA,0,1,1,2,10,0
"2",1253,14101758,616,7,1422,2,1,18,48.16,1,2,0.13,NA,0,0,0,2,10,0
"3",1253,14101758,616,7,1422,2,1,18,48.16,1,3,0.16,NA,0,0,0,2,10,0
"4",1253,14101758,616,7,1422,2,1,18,48.16,1,4,0.15,NA,0,0,0,2,10,0
"5",1253,14101758,616,7,1422,2,1,18,48.16,1,5,0.22,NA,0,0,0,2,10,0
"6",1253,14101758,616,7,1422,2,1,18,48.16,1,6,0.18,NA,0,0,0,2,10,0
"7",1265,14101758,634,6,1422,2,1,10,32.84,1,1,0.22,18,0,1,1,2,10,0
"8",1265,14101758,634,6,1422,2,1,10,32.84,1,2,0.14,18,0,0,0,2,10,0
"9",1265,14101758,634,6,1422,2,1,10,32.84,1,3,0.16,18,0,0,0,2,10,0
"10",1265,14101758,634,6,1422,2,1,10,32.84,1,4,0.16,18,0,0,0,2,10,0
"11",1265,14101758,634,6,1422,2,1,10,32.84,1,5,0.21,18,0,0,0,2,10,0
"12",1265,14101758,634,6,1422,2,1,10,32.84,1,6,0.18,18,0,0,0,2,10,0
"13",1266,14101758,635,6,1422,2,1,12,56.64,1,1,0.23,1,2,1,0,2,10,0
"14",1266,14101758,635,6,1422,2,1,12,56.64,1,2,0.14,1,2,0,0,2,10,0
"15",1266,14101758,635,6,1422,2,1,12,56.64,1,3,0.16,1,2,0,0,2,10,0
"16",1266,14101758,635,6,1422,2,1,12,56.64,1,4,0.16,1,2,1,0,2,10,0
"17",1266,14101758,635,6,1422,2,1,12,56.64,1,5,0.21,1,2,0,0,2,10,0
"18",1266,14101758,635,6,1422,2,1,12,56.64,1,6,0.18,1,2,0,0,2,10,0
"19",1302,14101758,676,7,1423,2,1,18,32.37,1,1,0.23,41,0,1,1,2,10,0
"20",1302,14101758,676,7,1423,2,1,18,32.37,1,2,0.16,41,0,1,0,2,10,0
"21",1302,14101758,676,7,1423,2,1,18,32.37,1,3,0.13,41,0,1,1,2,10,0
"22",1302,14101758,676,7,1423,2,1,18,32.37,1,4,0.18,41,0,0,0,2,10,0
"23",1302,14101758,676,7,1423,2,1,18,32.37,1,5,0.22,41,0,0,0,2,10,0
"24",1302,14101758,676,7,1423,2,1,18,32.37,1,6,0.2,41,0,0,0,2,10,0
"25",1306,14101758,681,7,1422,3,1,16,42.92,1,1,0.24,5,0,1,1,2,10,0
"26",1306,14101758,681,7,1422,3,1,16,42.92,1,2,0.14,5,0,0,0,2,10,0
"27",1306,14101758,681,7,1422,3,1,16,42.92,1,3,0.18,5,0,0,0,2,10,0
"28",1306,14101758,681,7,1422,3,1,16,42.92,1,4,0.16,5,0,1,0,2,10,0
"29",1306,14101758,681,7,1422,3,1,16,42.92,1,5,0.24,5,0,0,0,2,10,0
"30",1306,14101758,681,7,1422,3,1,16,42.92,1,6,0.19,5,0,0,0,2,10,0
"31",2177,14102335,622,4,1419,1,2,24,68.7,1,1,0.2,NA,0,0,0,2,11,0
"32",2177,14102335,622,4,1419,1,2,24,68.7,1,2,0.12,NA,0,1,1,2,11,0
"33",2177,14102335,622,4,1419,1,2,24,68.7,1,3,0.18,NA,0,0,0,2,11,0
"34",2177,14102335,622,4,1419,1,2,24,68.7,1,4,0.13,NA,0,0,0,2,11,0
"35",2177,14102335,622,4,1419,1,2,24,68.7,1,5,0.22,NA,0,0,0,2,11,0
"36",2177,14102335,622,4,1419,1,2,24,68.7,1,6,0.16,NA,0,0,0,2,11,0
"37",2178,14102335,625,7,1419,2,1,12,60.97,1,1,0.2,3,1,0,0,2,11,0
"38",2178,14102335,625,7,1419,2,1,12,60.97,1,2,0.12,3,1,0,0,2,11,0
"39",2178,14102335,625,7,1419,2,1,12,60.97,1,3,0.18,3,1,0,0,2,11,0
"40",2178,14102335,625,7,1419,2,1,12,60.97,1,4,0.13,3,1,0,0,2,11,0
"41",2178,14102335,625,7,1419,2,1,12,60.97,1,5,0.21,3,1,0,0,2,11,0
"42",2178,14102335,625,7,1419,2,1,12,60.97,1,6,0.16,3,1,0,0,2,11,0
"43",2180,14102335,634,3,1419,1,2,29,72.58,1,1,0.19,9,0,1,0,2,11,0
"44",2180,14102335,634,3,1419,1,2,29,72.58,1,2,0.13,9,0,0,0,2,11,0
"45",2180,14102335,634,3,1419,1,2,29,72.58,1,3,0.18,9,0,0,0,2,11,0
"46",2180,14102335,634,3,1419,1,2,29,72.58,1,4,0.13,9,0,0,0,2,11,0
"47",2180,14102335,634,3,1419,1,2,29,72.58,1,5,0.22,9,0,0,0,2,11,0
"48",2180,14102335,634,3,1419,1,2,29,72.58,1,6,0.17,9,0,0,0,2,11,0
"49",2183,14102335,643,1,1419,1,2,18,40.81,1,1,0.2,9,0,0,0,2,11,0
"50",2183,14102335,643,1,1419,1,2,18,40.81,1,2,0.13,9,0,0,0,2,11,0
"51",2183,14102335,643,1,1419,1,2,18,40.81,1,3,0.19,9,0,0,0,2,11,0
"52",2183,14102335,643,1,1419,1,2,18,40.81,1,4,0.13,9,0,0,0,2,11,0
"53",2183,14102335,643,1,1419,1,2,18,40.81,1,5,0.22,9,0,0,0,2,11,0
"54",2183,14102335,643,1,1419,1,2,18,40.81,1,6,0.17,9,0,0,0,2,11,0
"55",2189,14102335,647,2,1422,1,2,30,45.76,1,1,0.23,4,0,0,0,2,11,0
"56",2189,14102335,647,2,1422,1,2,30,45.76,1,2,0.12,4,0,1,1,2,11,0
"57",2189,14102335,647,2,1422,1,2,30,45.76,1,3,0.17,4,0,1,0,2,11,0
"58",2189,14102335,647,2,1422,1,2,30,45.76,1,4,0.16,4,0,0,0,2,11,0
"59",2189,14102335,647,2,1422,1,2,30,45.76,1,5,0.2,4,0,0,0,2,11,0
"60",2189,14102335,647,2,1422,1,2,30,45.76,1,6,0.19,4,0,1,0,2,11,0
"61",2191,14102335,651,4,1419,2,2,28,63.13,1,1,0.19,4,0,1,0,2,11,0
"62",2191,14102335,651,4,1419,2,2,28,63.13,1,2,0.12,4,0,1,1,2,11,0
"63",2191,14102335,651,4,1419,2,2,28,63.13,1,3,0.19,4,0,0,0,2,11,0
"64",2191,14102335,651,4,1419,2,2,28,63.13,1,4,0.13,4,0,0,0,2,11,0
"65",2191,14102335,651,4,1419,2,2,28,63.13,1,5,0.21,4,0,0,0,2,11,0
"66",2191,14102335,651,4,1419,2,2,28,63.13,1,6,0.17,4,0,0,0,2,11,0
"67",2194,14102335,658,2,1419,6,1,15,87.99,1,1,0.19,7,0,1,0,2,11,0
"68",2194,14102335,658,2,1419,6,1,15,87.99,1,2,0.12,7,0,1,0,2,11,0
"69",2194,14102335,658,2,1419,6,1,15,87.99,1,3,0.18,7,0,1,0,2,11,0
"70",2194,14102335,658,2,1419,6,1,15,87.99,1,4,0.13,7,0,0,0,2,11,0
"71",2194,14102335,658,2,1419,6,1,15,87.99,1,5,0.22,7,0,1,0,2,11,0
"72",2194,14102335,658,2,1419,6,1,15,87.99,1,6,0.17,7,0,0,0,2,11,0
"73",2195,14102335,663,5,1419,2,2,28,96.96,1,1,0.19,5,6,1,0,2,11,0
"74",2195,14102335,663,5,1419,2,2,28,96.96,1,2,0.13,5,6,0,0,2,11,0
"75",2195,14102335,663,5,1419,2,2,28,96.96,1,3,0.18,5,6,0,0,2,11,0
"76",2195,14102335,663,5,1419,2,2,28,96.96,1,4,0.13,5,6,0,0,2,11,0
"77",2195,14102335,663,5,1419,2,2,28,96.96,1,5,0.22,5,6,0,0,2,11,0
"78",2195,14102335,663,5,1419,2,2,28,96.96,1,6,0.17,5,6,0,0,2,11,0
"79",2196,14102335,666,5,1419,1,1,19.25,53.43,1,1,0.19,3,2,1,0,2,11,0
"80",2196,14102335,666,5,1419,1,1,19.25,53.43,1,2,0.13,3,2,0,0,2,11,0
"81",2196,14102335,666,5,1419,1,1,19.25,53.43,1,3,0.18,3,2,1,0,2,11,0
"82",2196,14102335,666,5,1419,1,1,19.25,53.43,1,4,0.13,3,2,0,0,2,11,0
"83",2196,14102335,666,5,1419,1,1,19.25,53.43,1,5,0.22,3,2,0,0,2,11,0
"84",2196,14102335,666,5,1419,1,1,19.25,53.43,1,6,0.17,3,2,0,0,2,11,0
"85",2198,14102335,673,1,1419,2,1,15.5,96.01,1,1,0.19,7,0,1,0,2,11,0
"86",2198,14102335,673,1,1419,2,1,15.5,96.01,1,2,0.13,7,0,0,0,2,11,0
"87",2198,14102335,673,1,1419,2,1,15.5,96.01,1,3,0.19,7,0,0,0,2,11,0
"88",2198,14102335,673,1,1419,2,1,15.5,96.01,1,4,0.14,7,0,0,0,2,11,0
"89",2198,14102335,673,1,1419,2,1,15.5,96.01,1,5,0.22,7,0,0,0,2,11,0
"90",2198,14102335,673,1,1419,2,1,15.5,96.01,1,6,0.18,7,0,0,0,2,11,0
"91",2200,14102335,680,4,1419,3,2,27,115.33,1,1,0.2,7,0,0,0,2,11,0
